word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:anatomical_heart:,🫀,Trái tim giải phẫu,trái tim giải phẫu,anatomical heart
:anchor:,⚓,mỏ neo,mỏ neo,anchor
:anger_symbol:,💢,Biểu tượng tức giận,biểu tượng tức giận,anger symbol
:angry_face:,😠,gương mặt giận dữ,gương mặt giận dữ,angry face
:angry_face_with_horns:,👿,gương mặt giận dữ có sừng,gương mặt giận dữ có sừng,angry face with horns
:anguished_face:,😧,gương mặt đau khổ,gương mặt đau khổ,anguished face
:ant:,🐜,con kiến,con kiến,ant
:antenna_bars:,📶,thanh ăng ten,thanh ăng ten,antenna bars
:anxious_face_with_sweat:,😰,gương mặt lo lắng với mồ hôi,gương mặt lo lắng với mồ hôi,anxious face with sweat
:articulated_lorry:,🚛,xe tải có khớp nối,xe tải có khớp nối,articulated lorry
:artist:,🧑‍🎨,họa sĩ,họa sĩ,artist
:artist_dark_skin_tone:,🧑🏿‍🎨,nghệ sĩ da tối màu da,nghệ sĩ da tối màu da,artist dark skin tone
:artist_light_skin_tone:,🧑🏻‍🎨,nghệ sĩ màu da sáng,nghệ sĩ màu da sáng,artist light skin tone
:artist_medium-dark_skin_tone:,🧑🏾‍🎨,nghệ sĩ màu da tối vừa,nghệ sĩ màu da tối vừa,artist medium-dark skin tone
:artist_medium-light_skin_tone:,🧑🏼‍🎨,nghệ sĩ màu da sáng vừa,nghệ sĩ màu da sáng vừa,artist medium-light skin tone
:artist_medium_skin_tone:,🧑🏽‍🎨,nghệ sĩ màu da thường,nghệ sĩ màu da thường,artist medium skin tone
:artist_palette:,🎨,bảng màu nghệ sĩ,bảng màu nghệ sĩ,artist palette
:astonished_face:,😲,khuôn mặt đáng kinh ngạc,khuôn mặt đáng kinh ngạc,astonished face
:astronaut:,🧑‍🚀,phi hành gia,phi hành gia,astronaut
:astronaut_dark_skin_tone:,🧑🏿‍🚀,phi hành gia da đen tối,phi hành gia da đen tối,astronaut dark skin tone
:astronaut_light_skin_tone:,🧑🏻‍🚀,phi hành gia màu da sáng,phi hành gia màu da sáng,astronaut light skin tone
:astronaut_medium-dark_skin_tone:,🧑🏾‍🚀,phi hành gia màu da sáng vừa,phi hành gia màu da sáng vừa,astronaut medium-dark skin tone
:astronaut_medium-light_skin_tone:,🧑🏼‍🚀,phi hành gia màu da sáng vừa,phi hành gia màu da sáng vừa,astronaut medium-light skin tone
:astronaut_medium_skin_tone:,🧑🏽‍🚀,phi hành gia màu da thường,phi hành gia màu da thường,astronaut medium skin tone
:atom_symbol:,⚛,Biểu tượng nguyên tử,biểu tượng nguyên tử,atom symbol
:auto_rickshaw:,🛺,Auto Rickshaw.,xe lam,auto rickshaw
:automobile:,🚗,ô tô,ô tô,automobile
:avocado:,🥑,trái bơ,trái bơ,avocado
:axe:,🪓,cây rìu,cây rìu,axe
:baby:,👶,đứa bé,đứa bé,baby
:baby_angel:,👼,em be Thiên thân,em be thiên thân,baby angel
:baby_angel_dark_skin_tone:,👼🏿,Tone của bé thiên thần tối,tone của bé thiên thần tối,baby angel dark skin tone
:baby_angel_light_skin_tone:,👼🏻,bé thiên thần màu da sáng,bé thiên thần màu da sáng,baby angel light skin tone
:baby_angel_medium-dark_skin_tone:,👼🏾,bé thiên thần màu da sẫm vừa,bé thiên thần màu da sẫm vừa,baby angel medium-dark skin tone
:baby_angel_medium-light_skin_tone:,👼🏼,bé thiên thần màu da sáng vừa,bé thiên thần màu da sáng vừa,baby angel medium-light skin tone
:baby_angel_medium_skin_tone:,👼🏽,bé thiên thần màu da thường,bé thiên thần màu da thường,baby angel medium skin tone
:baby_bottle:,🍼,bình sữa trẻ em,bình sữa trẻ em,baby bottle
:baby_chick:,🐤,gà con,gà con,baby chick
:baby_dark_skin_tone:,👶🏿,Tone da sẫm màu,tone da sẫm màu,baby dark skin tone
:baby_light_skin_tone:,👶🏻,bé màu da sáng,bé màu da sáng,baby light skin tone
:baby_medium-dark_skin_tone:,👶🏾,bé màu da sẫm vừa,bé màu da sẫm vừa,baby medium-dark skin tone
:baby_medium-light_skin_tone:,👶🏼,bé màu da sáng vừa,bé màu da sáng vừa,baby medium-light skin tone
:baby_medium_skin_tone:,👶🏽,bé màu da thường,bé màu da thường,baby medium skin tone
:baby_symbol:,🚼,Biểu tượng bé,biểu tượng bé,baby symbol
:backhand_index_pointing_down:,👇,ngón tay trái tay chỉ xuống,ngón tay trái tay chỉ xuống,backhand index pointing down
:backhand_index_pointing_down_dark_skin_tone:,👇🏿,ngón tay trái tay màu da sẫm chỉ xuống,ngón tay trái tay màu da sẫm chỉ xuống,backhand index pointing down dark skin tone
:backhand_index_pointing_down_light_skin_tone:,👇🏻,ngón tay trái tay màu da sáng chỉ xuống,ngón tay trái tay màu da sáng chỉ xuống,backhand index pointing down light skin tone
:backhand_index_pointing_down_medium-dark_skin_tone:,👇🏾,ngón tay trái tay màu da sẫm vừa chỉ xuống,ngón tay trái tay màu da sẫm vừa chỉ xuống,backhand index pointing down medium-dark skin tone
:backhand_index_pointing_down_medium-light_skin_tone:,👇🏼,ngón tay trái tay màu da sáng vừa chỉ xuống,ngón tay trái tay màu da sáng vừa chỉ xuống,backhand index pointing down medium-light skin tone
:backhand_index_pointing_down_medium_skin_tone:,👇🏽,ngón tay trái tay màu da thường chỉ xuống,ngón tay trái tay màu da thường chỉ xuống,backhand index pointing down medium skin tone
:backhand_index_pointing_left:,👈,ngón tay trái tay chỉ bên trái,ngón tay trái tay chỉ bên trái,backhand index pointing left
:backhand_index_pointing_left_dark_skin_tone:,👈🏿,ngón tay trái tay màu da sẫm chỉ bên trái,ngón tay trái tay màu da sẫm chỉ bên trái,backhand index pointing left dark skin tone
:backhand_index_pointing_left_light_skin_tone:,👈🏻,ngón tay trái tay màu da sáng chỉ bên trái,ngón tay trái tay màu da sáng chỉ bên trái,backhand index pointing left light skin tone
:backhand_index_pointing_left_medium-dark_skin_tone:,👈🏾,ngón tay trái tay màu da sẫm vừa chỉ bên trái,ngón tay trái tay màu da sẫm vừa chỉ bên trái,backhand index pointing left medium-dark skin tone
:backhand_index_pointing_left_medium-light_skin_tone:,👈🏼,ngón tay trái tay màu da sáng vừa chỉ bên trái,ngón tay trái tay màu da sáng vừa chỉ bên trái,backhand index pointing left medium-light skin tone
:backhand_index_pointing_left_medium_skin_tone:,👈🏽,ngón tay trái tay màu da thường chỉ bên trái,ngón tay trái tay màu da thường chỉ bên trái,backhand index pointing left medium skin tone
:backhand_index_pointing_right:,👉,ngón tay trái tay chỉ bên phải,ngón tay trái tay chỉ bên phải,backhand index pointing right
:backhand_index_pointing_right_dark_skin_tone:,👉🏿,ngón tay trái tay màu sẫm chỉ bên phải,ngón tay trái tay màu sẫm chỉ bên phải,backhand index pointing right dark skin tone
:backhand_index_pointing_right_light_skin_tone:,👉🏻,ngón tay trái tay màu sáng chỉ bên phải,ngón tay trái tay màu sáng chỉ bên phải,backhand index pointing right light skin tone
:backhand_index_pointing_right_medium-dark_skin_tone:,👉🏾,ngón tay trái tay màu sẫm vừa chỉ bên phải,ngón tay trái tay màu sẫm vừa chỉ bên phải,backhand index pointing right medium-dark skin tone
:backhand_index_pointing_right_medium-light_skin_tone:,👉🏼,ngón tay trái tay màu sáng vừa chỉ bên phải,ngón tay trái tay màu sáng vừa chỉ bên phải,backhand index pointing right medium-light skin tone
:backhand_index_pointing_right_medium_skin_tone:,👉🏽,ngón tay trái tay màu thường chỉ bên phải,ngón tay trái tay màu thường chỉ bên phải,backhand index pointing right medium skin tone
:backhand_index_pointing_up:,👆,ngón tay trái tay chỉ lên,ngón tay trái tay chỉ lên,backhand index pointing up
:backhand_index_pointing_up_dark_skin_tone:,👆🏿,ngón tay trái tay màu sẫm chỉ lên,ngón tay trái tay màu sẫm chỉ lên,backhand index pointing up dark skin tone
:backhand_index_pointing_up_light_skin_tone:,👆🏻,ngón tay trái tay màu sáng chỉ lên,ngón tay trái tay màu sáng chỉ lên,backhand index pointing up light skin tone
:backhand_index_pointing_up_medium-dark_skin_tone:,👆🏾,ngón tay trái tay màu sẫm vừa chỉ lên,ngón tay trái tay màu sẫm vừa chỉ lên,backhand index pointing up medium-dark skin tone
:backhand_index_pointing_up_medium-light_skin_tone:,👆🏼,ngón tay trái tay màu sáng vừa chỉ lên,ngón tay trái tay màu sáng vừa chỉ lên,backhand index pointing up medium-light skin tone
:backhand_index_pointing_up_medium_skin_tone:,👆🏽,ngón tay trái tay màu thường chỉ lên,ngón tay trái tay màu thường chỉ lên,backhand index pointing up medium skin tone
:backpack:,🎒,balo,balo,backpack
:bacon:,🥓,Thịt ba rọi,thịt ba rọi,bacon
:badger:,🦡,con lửng,con lửng,badger
:badminton:,🏸,cầu lông,cầu lông,badminton
:bagel:,🥯,Bagel.,bagel.,bagel
:baggage_claim:,🛄,nhận hành lý,nhận hành lý,baggage claim
:baguette_bread:,🥖,bánh mì que,bánh mì que,baguette bread
:balance_scale:,⚖,cân cân bằng,cân cân bằng,balance scale
:bald:,🦲,hói,hói,bald
:ballet_shoes:,🩰,giày ba lê,giày ba lê,ballet shoes
:balloon:,🎈,bóng bay,bóng bay,balloon
:ballot_box_with_ballot:,🗳,Boxot Box với lá phiếu,boxot box với lá phiếu,ballot box with ballot
:banana:,🍌,chuối,chuối,banana
:banjo:,🪕,băng cầm,băng cầm,banjo
:bank:,🏦,ngân hàng,ngân hàng,bank
:bar_chart:,📊,biểu đồ cột,biểu đồ cột,bar chart
:barber_pole:,💈,cột hiệu cắt tóc,cột hiệu cắt tóc,barber pole
:baseball:,⚾,bóng chày,bóng chày,baseball
:basket:,🧺,cái rổ,cái rổ,basket
:basketball:,🏀,bóng rổ,bóng rổ,basketball
:bat:,🦇,con dơi,con dơi,bat
:bathtub:,🛁,Bồn tắm,bồn tắm,bathtub
:battery:,🔋,pin,pin,battery
:beach_with_umbrella:,🏖,Bãi biển với ô,bãi biển với ô,beach with umbrella
:beaming_face_with_smiling_eyes:,😁,rạng rỡ mặt với đôi mắt mỉm cười,rạng rỡ mặt với đôi mắt mỉm cười,beaming face with smiling eyes
:bear:,🐻,gấu,gấu,bear
:beating_heart:,💓,trái tim đập,trái tim đập,beating heart
:beaver:,🦫,hải ly,hải ly,beaver
:bed:,🛏,Giường,giường,bed
:beer_mug:,🍺,Bia Mug.,bia mug.,beer mug
:beetle:,🪲,bọ cánh cứng.,bọ cánh cứng.,beetle
:bell:,🔔,chuông,chuông,bell
:bell_pepper:,🫑,ớt chuông,ớt chuông,bell pepper
:bell_with_slash:,🔕,Bell với Slash.,bell với slash.,bell with slash
:bellhop_bell:,🛎,chuông cửa hàng,chuông cửa hàng,bellhop bell
:bento_box:,🍱,hộp đựng cơm,hộp đựng cơm,bento box
:beverage_box:,🧃,Hộp đồ uống,hộp đồ uống,beverage box
:bicycle:,🚲,Xe đạp,xe đạp,bicycle
:bikini:,👙,bikini,bikini,bikini
:billed_cap:,🧢,nón lưỡi trai,nón lưỡi trai,billed cap
:biohazard:,☣,nguy cơ sinh học,nguy cơ sinh học,biohazard
:bird:,🐦,chim,chim,bird
:birthday_cake:,🎂,bánh sinh nhật,bánh sinh nhật,birthday cake
:bison:,🦬,bò bi son,bò bi son,bison
:black_cat:,🐈‍⬛,mèo đen,mèo đen,black cat
:black_circle:,⚫,Vòng tròn đen,vòng tròn đen,black circle
:black_flag:,🏴,cờ đen,cờ đen,black flag
:black_heart:,🖤,trái tim đen,trái tim đen,black heart
:black_large_square:,⬛,hình vuông lớn màu đen,hình vuông lớn màu đen,black large square
:black_medium-small_square:,◾,hình vuông màu đen nhỏ vừa,hình vuông màu đen nhỏ vừa,black medium-small square
:black_medium_square:,◼,hình vuông màu đen vừa,hình vuông màu đen vừa,black medium square
:black_nib:,✒,ngòi bút màu đen,ngòi bút màu đen,black nib
:black_small_square:,▪,hình vuông màu đen nhỏ  ,hình vuông màu đen nhỏ  ,black small square
:black_square_button:,🔲,nút hình vuông màu đen,nút hình vuông màu đen,black square button
:blossom:,🌼,hoa nở,hoa nở,blossom
:blowfish:,🐡,cá nóc,cá nóc,blowfish
:blue_book:,📘,Sách xanh,sách xanh,blue book
:blue_circle:,🔵,Blue Circle.,blue circle.,blue circle
:blue_heart:,💙,trái tim màu xanh,trái tim màu xanh,blue heart
:blue_square:,🟦,hình vuông màu xanh,hình vuông màu xanh,blue square
:blueberries:,🫐,quả việt quất.,quả việt quất.,blueberries
:boar:,🐗,heo rừng,heo rừng,boar
:bomb:,💣,bom,bom,bomb
:bone:,🦴,khúc xương,khúc xương,bone
:bookmark:,🔖,Bookmark.,kẹp sách,bookmark
:bookmark_tabs:,📑,Tab đánh dấu,tab đánh dấu,bookmark tabs
:books:,📚,sách,sách,books
:boomerang:,🪃,boomerang,boomerang,boomerang
:bottle_with_popping_cork:,🍾,chai với nút chai,chai với nút chai,bottle with popping cork
:bouquet:,💐,Bó hoa.,bó hoa.,bouquet
:bow_and_arrow:,🏹,cung và tên,cung và tên,bow and arrow
:bowl_with_spoon:,🥣,bát với thìa,bát với thìa,bowl with spoon
:bowling:,🎳,bowling,bowling,bowling
:boxing_glove:,🥊,Găng tay đấm bốc,găng tay đấm bốc,boxing glove
:boy:,👦,cậu bé,cậu bé,boy
:boy_dark_skin_tone:,👦🏿,cậu bé da đen,cậu bé da đen,boy dark skin tone
:boy_light_skin_tone:,👦🏻,cậu bé màu da sáng,cậu bé màu da sáng,boy light skin tone
:boy_medium-dark_skin_tone:,👦🏾,cậu bé màu da sẫm vừa,cậu bé màu da sẫm vừa,boy medium-dark skin tone
:boy_medium-light_skin_tone:,👦🏼,cậu bé màu da sáng vừa,cậu bé màu da sáng vừa,boy medium-light skin tone
:boy_medium_skin_tone:,👦🏽,cậu bé màu da thường,cậu bé màu da thường,boy medium skin tone
:brain:,🧠,não,não,brain
:bread:,🍞,bánh mỳ,bánh mỳ,bread
:breast-feeding:,🤱,Cho con bú,cho con bú,breast-feeding
:breast-feeding_dark_skin_tone:,🤱🏿,cho con bú màu da sẫm ,cho con bú màu da sẫm ,breast-feeding dark skin tone
:breast-feeding_light_skin_tone:,🤱🏻,cho con bú màu da sáng,cho con bú màu da sáng,breast-feeding light skin tone
:breast-feeding_medium-dark_skin_tone:,🤱🏾,cho con bú màu da sẫm vừa,cho con bú màu da sẫm vừa,breast-feeding medium-dark skin tone
:breast-feeding_medium-light_skin_tone:,🤱🏼,cho con bú màu da sáng vừa,cho con bú màu da sáng vừa,breast-feeding medium-light skin tone
:breast-feeding_medium_skin_tone:,🤱🏽,cho con bú màu da vừa ,cho con bú màu da vừa ,breast-feeding medium skin tone
:brick:,🧱,gạch,gạch,brick
:bridge_at_night:,🌉,Cầu vào ban đêm,cầu vào ban đêm,bridge at night
:briefcase:,💼,Va li công tác,va li công tác,briefcase
:briefs:,🩲,quần sịp,quần sịp,briefs
:bright_button:,🔆,Nút sáng,nút sáng,bright button
:broccoli:,🥦,bông cải xanh,bông cải xanh,broccoli
:broken_heart:,💔,trái tim tan vỡ,trái tim tan vỡ,broken heart
:broom:,🧹,Broom.,chổi,broom
:brown_circle:,🟤,vòng tròn nâu.,vòng tròn nâu.,brown circle
:brown_heart:,🤎,trái tim nâu,trái tim nâu,brown heart
:brown_square:,🟫,hình vuông nâu,hình vuông nâu,brown square
:bubble_tea:,🧋,trà bong bóng,trà bong bóng,bubble tea
:bucket:,🪣,Gầu múc,gầu múc,bucket
:bug:,🐛,sâu bọ,sâu bọ,bug
:building_construction:,🏗,toà nhà xây dựng,toà nhà xây dựng,building construction
:bullet_train:,🚅,tàu cao tốc,tàu cao tốc,bullet train
:bullseye:,🎯,Bullseye.,mắt bò,bullseye
:burrito:,🌯,burrito.,burrito.,burrito
:bus:,🚌,xe buýt,xe buýt,bus
:bus_stop:,🚏,điểm dừng xe buýt,điểm dừng xe buýt,bus stop
:bust_in_silhouette:,👤,hình bóng tượng,hình bóng tượng,bust in silhouette
:busts_in_silhouette:,👥,hình bóng các tượng,hình bóng các tượng,busts in silhouette
:butter:,🧈,bơ,bơ,butter
:butterfly:,🦋,Con bướm,con bướm,butterfly
:cactus:,🌵,cây xương rồng,cây xương rồng,cactus
:calendar:,📅,lịch,lịch,calendar
:call_me_hand:,🤙,tay gọi tôi,tay gọi tôi,call me hand
:call_me_hand_dark_skin_tone:,🤙🏿,tay gọi tôi màu da sẫm,tay gọi tôi màu da sẫm,call me hand dark skin tone
:call_me_hand_light_skin_tone:,🤙🏻,tay gọi tôi màu da sáng,tay gọi tôi màu da sáng,call me hand light skin tone
:call_me_hand_medium-dark_skin_tone:,🤙🏾,tay gọi tôi màu da sẫm vừa,tay gọi tôi màu da sẫm vừa,call me hand medium-dark skin tone
:call_me_hand_medium-light_skin_tone:,🤙🏼,tay gọi tôi màu da sáng vừa,tay gọi tôi màu da sáng vừa,call me hand medium-light skin tone
:call_me_hand_medium_skin_tone:,🤙🏽,tay gọi tôi màu da vừa,tay gọi tôi màu da vừa,call me hand medium skin tone
:camel:,🐪,con lạc đà,con lạc đà,camel
:camera:,📷,Máy ảnh,máy ảnh,camera
:camera_with_flash:,📸,máy ảnh với flash,máy ảnh với flash,camera with flash
:camping:,🏕,cắm trại,cắm trại,camping
:candle:,🕯,nến,nến,candle
:candy:,🍬,kẹo,kẹo,candy
:canned_food:,🥫,đồ ăn đóng hộp,đồ ăn đóng hộp,canned food
:canoe:,🛶,ca nô.,ca nô.,canoe
:card_file_box:,🗃,hộp thẻ tập tin,hộp thẻ tập tin,card file box
:card_index:,📇,chỉ mục thẻ,chỉ mục thẻ,card index
:card_index_dividers:,🗂,chia chỉ mục thẻ,chia chỉ mục thẻ,card index dividers
:carousel_horse:,🎠,Carousel ngựa,carousel ngựa,carousel horse
:carp_streamer:,🎏,lồng đèn cá chép,lồng đèn cá chép,carp streamer
:carpentry_saw:,🪚,Cưa mộc,cưa mộc,carpentry saw
:carrot:,🥕,Cà rốt,cà rốt,carrot
:castle:,🏰,lâu đài,lâu đài,castle
:cat:,🐈,con mèo,con mèo,cat
:cat_face:,🐱,mặt mèo,mặt mèo,cat face
:cat_with_tears_of_joy:,😹,mèo với những giọt nước mắt của niềm vui,mèo với những giọt nước mắt của niềm vui,cat with tears of joy
:cat_with_wry_smile:,😼,mèo với nụ cười gượng gạo,mèo với nụ cười gượng gạo,cat with wry smile
:chains:,⛓,các dây xích,các dây xích,chains
:chair:,🪑,cái ghế,cái ghế,chair
:chart_decreasing:,📉,biểu đồ giảm dần,biểu đồ giảm dần,chart decreasing
:chart_increasing:,📈,biểu đồ tăng lên,biểu đồ tăng lên,chart increasing
:chart_increasing_with_yen:,💹,Biểu đồ tăng lên với yên,biểu đồ tăng lên với yên,chart increasing with yen
:check_box_with_check:,☑,hộp kiểm tra với dấu tích,hộp kiểm tra với dấu tích,check box with check
:check_mark:,✔,dấu tích,dấu tích,check mark
:check_mark_button:,✅,nút dấu tích,nút dấu tích,check mark button
:cheese_wedge:,🧀,phô mai hình cái nêm,phô mai hình cái nêm,cheese wedge
:chequered_flag:,🏁,Cờ rô,cờ rô,chequered flag
:cherries:,🍒,Quả anh đào,quả anh đào,cherries
:cherry_blossom:,🌸,Hoa anh đào,hoa anh đào,cherry blossom
:chess_pawn:,♟,con tốt cờ vua,con tốt cờ vua,chess pawn
:chestnut:,🌰,hạt dẻ,hạt dẻ,chestnut
:chicken:,🐔,Gà,gà,chicken
:child:,🧒,đứa trẻ,đứa trẻ,child
:child_dark_skin_tone:,🧒🏿,đứa trẻ màu da sẫm,đứa trẻ màu da sẫm,child dark skin tone
:child_light_skin_tone:,🧒🏻,đứa trẻ màu da sáng,đứa trẻ màu da sáng,child light skin tone
:child_medium-dark_skin_tone:,🧒🏾,đứa trẻ màu da sẫm vừa,đứa trẻ màu da sẫm vừa,child medium-dark skin tone
:child_medium-light_skin_tone:,🧒🏼,đứa trẻ màu da sáng vừa,đứa trẻ màu da sáng vừa,child medium-light skin tone
:child_medium_skin_tone:,🧒🏽,đứa trẻ màu da vừa,đứa trẻ màu da vừa,child medium skin tone
:children_crossing:,🚸,cho trẻ em qua,cho trẻ em qua,children crossing
:chipmunk:,🐿,sóc chuột,sóc chuột,chipmunk
:chocolate_bar:,🍫,thanh sô cô la,thanh sô cô la,chocolate bar
:chopsticks:,🥢,Đũa,đũa,chopsticks
:church:,⛪,nhà thờ,nhà thờ,church
:cigarette:,🚬,thuốc lá,thuốc lá,cigarette
:cinema:,🎦,Rạp chiếu phim,rạp chiếu phim,cinema
:circled_M:,Ⓜ,M được khoanh tròn,m được khoanh tròn,circled M
:circus_tent:,🎪,lều xiếc,lều xiếc,circus tent
:cityscape:,🏙,Cảnh quan thành phố.,cảnh quan thành phố.,cityscape
:cityscape_at_dusk:,🌆,Cảnh quan thành phố tại Dusk.,cảnh quan thành phố tại dusk.,cityscape at dusk
:clamp:,🗜,kẹp,kẹp,clamp
:clapper_board:,🎬,Bảng Clapper,bảng clapper,clapper board
:clapping_hands:,👏,vỗ tay,vỗ tay,clapping hands
:clapping_hands_dark_skin_tone:,👏🏿,vỗ tay màu da sẫm,vỗ tay màu da sẫm,clapping hands dark skin tone
:clapping_hands_light_skin_tone:,👏🏻,vỗ tay màu da sáng,vỗ tay màu da sáng,clapping hands light skin tone
:clapping_hands_medium-dark_skin_tone:,👏🏾,vỗ tay màu da sẫm vừa,vỗ tay màu da sẫm vừa,clapping hands medium-dark skin tone
